,Unnamed: 0,Name,Platform,Year,Genre,Publisher,DateSortie,Studio,Score,Rate,Review,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_licence,GK_distributeur
93,114,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2014-11-01,Sledgehammer Games,8.3,6.9,671.0,2.8,3.3,0.14,1.37,7.6,Call of Duty,
94,116,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,1998-12-01,Nintendo,9.9,9.65,1371.0,4.1,1.89,1.45,0.16,7.6,The Legend of Zelda,Nintendo
95,118,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,,Naughty Dog,,7.9,83.0,3.78,2.17,1.31,0.31,7.58,Crash Bandicoot ,
96,119,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,,Nintendo,8.0,7.5,160.0,5.39,1.18,0.7,0.19,7.46,Mario,
97,121,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,,Namco,9.0,8.3,279.0,3.24,1.35,2.42,0.43,7.45,,
98,122,Call of Duty: World at War,X360,2008.0,Shooter,Activision,2008-11-01,Treyarch,8.4,7.85,722.0,4.79,1.9,0.0,0.69,7.37,Call of Duty,
99,124,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,2011-10-01,EA DICE,8.4,,1930.0,4.46,2.13,0.06,0.69,7.34,Battlefield,
100,125,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,2006-11-01,Nintendo,9.5,8.3,564.0,3.83,2.19,0.6,0.7,7.31,The Legend of Zelda,Nintendo
101,127,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,,Treyarch,6.0,5.6,48.0,4.52,2.09,0.01,0.67,7.3,Call of Duty,
102,129,Just Dance,Wii,2009.0,Misc,Ubisoft,2009-11-01,Ubisoft Paris,4.9,5.8,6.0,3.51,3.03,0.0,0.73,7.27,Just Dance,
103,130,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2011-10-01,EA DICE,8.5,,3601.0,2.85,2.93,0.35,1.1,7.23,Battlefield,
104,131,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,2003-11-01,EA Black Box,8.5,,120.0,3.27,2.83,0.08,1.02,7.2,Need For Speed ,
105,132,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,1998-04-01,Namco,9.6,7.9,99.0,3.27,2.22,1.4,0.29,7.16,Tekken ,Sony Interactive Entertainment Europe
106,133,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,1998-10-01,Naughty Dog,9.1,8.2,89.0,3.68,1.75,1.42,0.28,7.13,Crash Bandicoot,
107,135,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,2001-12-01,HAL Labs,9.2,9.1,,4.41,1.04,1.39,0.22,7.07,,
108,136,Mario Kart 8,WiiU,2014.0,Racing,Nintendo,2014-05-01,Nintendo,8.8,8.4,439.0,3.13,2.07,1.27,0.49,6.96,,
109,137,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2015-11-01,Bethesda Game Studios,8.7,8.45,237.0,2.47,3.15,0.24,1.1,6.96,Fallout,
110,138,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,2003-11-01,Nintendo,8.7,8.0,304.0,4.12,1.77,0.87,0.19,6.95,,
111,139,Just Dance 4,Wii,2012.0,Misc,Ubisoft,2012-10-01,Ubisoft,7.4,,104.0,4.14,2.21,0.0,0.56,6.91,Just Dance,
112,140,FIFA 14,PS3,2013.0,Sports,Electronic Arts,2013-09-01,EA Canada,8.6,,1054.0,0.78,4.32,0.07,1.73,6.9,FIFA EA Sports,
113,141,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2004-11-01,EA Canada,8.2,,203.0,2.71,3.02,0.08,1.09,6.9,Need For Speed ,
114,142,Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2002-05-01,EA LA,8.8,7.1,58.0,2.93,2.75,0.17,0.99,6.83,Medal of Honor ,
115,143,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2011-11-01,Naughty Dog,9.2,7.9,456.0,2.77,2.8,0.19,1.06,6.83,Uncharted ,
116,144,Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,,Toys for Bob,7.0,6.9,13.0,3.23,2.35,0.94,0.3,6.82,Crash Bandicoot ,
117,145,Zumba Fitness,Wii,2010.0,Sports,505 Games,2010-11-01,Pipeworks Software,4.5,5.8,18.0,3.5,2.64,0.0,0.67,6.81,Zumba Fitness,
118,146,Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,2008-11-01,Epic Games,9.3,8.2,317.0,4.15,1.92,0.06,0.64,6.76,Gears of War,
119,147,Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,2009-10-01,Naughty Dog,9.6,7.95,3653.0,3.27,2.25,0.21,1.0,6.73,Uncharted,Sony Interactive Entertainment Europe
120,149,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,2007-11-01,Infinity Ward,9.4,8.65,1346.0,3.1,2.3,0.28,1.04,6.72,Call of Duty,Activision
121,151,FIFA 12,PS3,2011.0,Sports,Electronic Arts,2011-09-01,EA Canada,9.0,8.0,1278.0,0.84,4.32,0.11,1.42,6.69,FIFA EA Sports,
122,152,Big Brain Academy,DS,2005.0,Misc,Nintendo,2006-06-01,Nintendo,7.4,7.5,,1.67,2.78,1.6,0.62,6.67,,
123,153,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2010-05-01,Rockstar San Diego,9.5,9.25,3473.0,2.79,2.61,0.17,1.03,6.6,Red Dead Revolver,
124,155,FIFA 15,PS4,2014.0,Sports,Electronic Arts,2014-09-01,EA Sports,8.2,4.55,834.0,0.79,4.29,0.05,1.47,6.59,FIFA EA Sports,
125,156,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,2010-12-01,Retro Studios,8.7,,601.0,3.25,1.84,1.03,0.47,6.59,Donkey Kong,
126,157,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2011-11-01,Bethesda Game Studios,9.2,9.05,1862.0,2.55,2.71,0.25,1.05,6.56,The Elder Scrolls,
127,159,The Legend of Zelda,NES,1986.0,Action,Nintendo,,Nintendo,6.0,8.3,176.0,3.74,0.93,1.69,0.14,6.51,The Legend of Zelda,
128,161,Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2012-10-01,Ubisoft,8.5,,1920.0,2.64,2.56,0.16,1.14,6.5,Assassin's Creed,
129,162,Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,2001-11-01,Bungie Software,9.7,8.1,247.0,4.98,1.3,0.08,0.07,6.43,Halo,
130,164,PokǸmon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,,Nintendo,7.0,8.0,40.0,2.57,1.58,2.06,0.21,6.41,PokǸmon ,
